Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RN1,R_Pack04,R_Array_Convex_4x0603,91.4115,-84.8075,90,bottom
RN2,R_Pack04,R_Array_Convex_4x0603,105.3765,-84.8075,270,bottom
RN3,R_Pack04,R_Array_Convex_4x0603,134.626,-104.1115,90,bottom
RN4,R_Pack04,R_Array_Convex_4x0603,149.8075,-104.1115,270,bottom
RN5,R_Pack04,R_Array_Convex_4x0603,106.5734,-136.0681,90,bottom
SW1,SW_SPST,MX-Hotswap-1U,88.9,-55.72,0,top
SW2,SW_SPST,MX-Hotswap-1U,88.9,-74.77,0,top
SW3,SW_SPST,MX-Hotswap-1U,88.9,-93.82,0,top
SW4,SW_SPST,MX-Hotswap-1U,88.9,-112.87,0,top
SW5,SW_SPST,MX-Hotswap-1U,107.95,-55.72,0,top
SW6,SW_SPST,MX-Hotswap-1U,107.95,-74.77,0,top
SW7,SW_SPST,MX-Hotswap-1U,107.95,-93.82,0,top
SW8,SW_SPST,MX-Hotswap-1U,107.95,-112.87,0,top
SW9,SW_SPST,MX-Hotswap-1U,127,-55.72,0,top
SW10,SW_SPST,MX-Hotswap-1U,127,-74.77,0,top
SW11,SW_SPST,MX-Hotswap-1U,127,-93.82,0,top
SW12,SW_SPST,MX-Hotswap-1U,127,-112.87,0,top
SW13,SW_SPST,MX-Hotswap-1U,146.05,-55.72,0,top
SW14,SW_SPST,MX-Hotswap-2U-Vertical,146.05,-84.295,0,top
SW15,SW_SPST,MX-Hotswap-2U-Vertical,146.05,-122.395,0,top
SW16,SW_SPST,MX-Hotswap-1U,127,-131.92,0,top
SW17,SW_SPST,MX-Hotswap-2U-ReversedStabilizers,98.425,-131.92,0,top
U1,74HC165,TSSOP-16_4.4x5mm_P0.65mm,98.425,-81.91375,180,bottom
U2,74HC165,TSSOP-16_4.4x5mm_P0.65mm,142.8415,-101.1795,180,bottom
U3,74HC165,TSSOP-16_4.4x5mm_P0.65mm,112.7109,-131.5977,180,bottom
