Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RN1,R_Pack04,R_Array_Convex_4x0603,91.4115,-84.8075,0.0,bottom
RN2,R_Pack04,R_Array_Convex_4x0603,105.3765,-84.8075,0.0,bottom
RN3,R_Pack04,R_Array_Convex_4x0603,134.626,-104.1115,0.0,bottom
RN4,R_Pack04,R_Array_Convex_4x0603,149.8075,-104.1115,0.0,bottom
RN5,R_Pack04,R_Array_Convex_4x0603,106.5734,-136.0681,0.0,bottom
SW1,SW_SPST,MX-Hotswap-1U,89.5350,-51.9100,180.0,bottom
SW2,SW_SPST,MX-Hotswap-1U,89.5350,-70.9600,180.0,bottom
SW3,SW_SPST,MX-Hotswap-1U,89.5350,-90.0100,180.0,bottom
SW4,SW_SPST,MX-Hotswap-1U,89.5350,-109.0600,180.0,bottom
SW5,SW_SPST,MX-Hotswap-1U,108.5850,-51.9100,180.0,bottom
SW6,SW_SPST,MX-Hotswap-1U,108.5850,-70.9600,180.0,bottom
SW7,SW_SPST,MX-Hotswap-1U,108.5850,-90.0100,180.0,bottom
SW8,SW_SPST,MX-Hotswap-1U,108.5850,-109.0600,180.0,bottom
SW9,SW_SPST,MX-Hotswap-1U,127.6350,-51.9100,180.0,bottom
SW10,SW_SPST,MX-Hotswap-1U,127.6350,-70.9600,180.0,bottom
SW11,SW_SPST,MX-Hotswap-1U,127.6350,-90.0100,180.0,bottom
SW12,SW_SPST,MX-Hotswap-1U,127.6350,-109.0600,180.0,bottom
SW13,SW_SPST,MX-Hotswap-1U,146.6850,-51.9100,180.0,bottom
SW14,SW_SPST,MX-Hotswap-2U-Vertical,146.6850,-80.4850,180.0,bottom
SW15,SW_SPST,MX-Hotswap-2U-Vertical,146.6850,-118.5850,180.0,bottom
SW16,SW_SPST,MX-Hotswap-1U,127.6350,-128.1100,180.0,bottom
SW17,SW_SPST,MX-Hotswap-2U-ReversedStabilizers,99.0600,-128.1100,180.0,bottom
U1,74HC165,TSSOP-16_4.4x5mm_P0.65mm,98.425,-81.91375,90.0,bottom
U2,74HC165,TSSOP-16_4.4x5mm_P0.65mm,142.8415,-101.1795,90.0,bottom
U3,74HC165,TSSOP-16_4.4x5mm_P0.65mm,112.7109,-131.5977,90.0,bottom
