Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RN1,R_Pack04,R_Array_Convex_4x0603,61.69025,-63.15075,270.0,bottom
RN2,R_Pack04,R_Array_Convex_4x0603,76.42225,-63.15075,270.0,bottom
RN3,R_Pack04,R_Array_Convex_4x0603,104.45275,-63.15075,270.0,bottom
RN4,R_Pack04,R_Array_Convex_4x0603,119.18475,-63.15075,270.0,bottom
RN5,R_Pack04,R_Array_Convex_4x0603,142.55275,-63.15075,270.0,bottom
RN6,R_Pack04,R_Array_Convex_4x0603,157.28475,-63.15075,270.0,bottom
RN7,R_Pack04,R_Array_Convex_4x0603,180.65275,-63.15075,270.0,bottom
RN8,R_Pack04,R_Array_Convex_4x0603,195.38475,-63.15075,270.0,bottom
RN9,R_Pack04,R_Array_Convex_4x0603,218.75275,-63.15075,270.0,bottom
RN10,R_Pack04,R_Array_Convex_4x0603,233.48475,-63.15075,270.0,bottom
RN11,R_Pack04,R_Array_Convex_4x0603,256.85275,-63.15075,270.0,bottom
RN12,R_Pack04,R_Array_Convex_4x0603,271.58475,-63.15075,270.0,bottom
RN13,R_Pack04,R_Array_Convex_4x0603,294.88425,-63.15075,270.0,bottom
RN14,R_Pack04,R_Array_Convex_4x0603,309.61625,-63.15075,270.0,bottom
RN15,R_Pack04,R_Array_Convex_4x0603,256.83075,-102.36775,270.0,bottom
SW1,SW_Push,MX-Hotswap-1U,64.29375,-35.71875,0.0,top
SW2,SW_Push,MX-Hotswap-1.25U,109.5375,-111.91875,0.0,top
SW3,SW_Push,MX-Hotswap-1.25U,133.35,-111.91875,0.0,top
SW4,SW_Push,MX-Hotswap-2.25U-ReversedStabilizers,166.6875,-111.91875,0.0,top
SW5,SW_Push,MX-Hotswap-1U,83.34375,-35.71875,0.0,top
SW6,SW_Push,MX-Hotswap-1.5U,78.58125,-54.76875,0.0,top
SW7,SW_Push,MX-Hotswap-1.75U,76.2,-73.81875,0.0,top
SW8,SW_Push,MX-Hotswap-2.25U,71.4375,-92.86875,0.0,top
SW9,SW_Push,MX-Hotswap-1U,102.39375,-35.71875,0.0,top
SW10,SW_Push,MX-Hotswap-1U,102.39375,-54.76875,0.0,top
SW11,SW_Push,MX-Hotswap-1U,102.39375,-73.81875,0.0,top
SW12,SW_Push,MX-Hotswap-1U,102.39375,-92.86875,0.0,top
SW13,SW_Push,MX-Hotswap-1U,121.44375,-35.71875,0.0,top
SW14,SW_Push,MX-Hotswap-1U,121.44375,-54.76875,0.0,top
SW15,SW_Push,MX-Hotswap-1U,121.44375,-73.81875,0.0,top
SW16,SW_Push,MX-Hotswap-1U,121.44375,-92.86875,0.0,top
SW17,SW_Push,MX-Hotswap-1U,140.49375,-35.71875,0.0,top
SW18,SW_Push,MX-Hotswap-1U,140.49375,-54.76875,0.0,top
SW19,SW_Push,MX-Hotswap-1U,140.49375,-73.81875,0.0,top
SW20,SW_Push,MX-Hotswap-1U,140.49375,-92.86875,0.0,top
SW21,SW_Push,MX-Hotswap-1U,159.54375,-35.71875,0.0,top
SW22,SW_Push,MX-Hotswap-1U,159.54375,-54.76875,0.0,top
SW23,SW_Push,MX-Hotswap-1U,159.54375,-73.81875,0.0,top
SW24,SW_Push,MX-Hotswap-1U,159.54375,-92.86875,0.0,top
SW25,SW_Push,MX-Hotswap-1U,178.59375,-35.71875,0.0,top
SW26,SW_Push,MX-Hotswap-1U,178.59375,-54.76875,0.0,top
SW27,SW_Push,MX-Hotswap-1U,178.59375,-73.81875,0.0,top
SW28,SW_Push,MX-Hotswap-1U,178.59375,-92.86875,0.0,top
SW29,SW_Push,MX-Hotswap-1U,197.64375,-35.71875,0.0,top
SW30,SW_Push,MX-Hotswap-1U,197.64375,-54.76875,0.0,top
SW31,SW_Push,MX-Hotswap-1U,197.64375,-73.81875,0.0,top
SW32,SW_Push,MX-Hotswap-1U,197.64375,-92.86875,0.0,top
SW33,SW_Push,MX-Hotswap-1U,216.69375,-35.71875,0.0,top
SW34,SW_Push,MX-Hotswap-1U,216.69375,-54.76875,0.0,top
SW35,SW_Push,MX-Hotswap-1U,216.69375,-73.81875,0.0,top
SW36,SW_Push,MX-Hotswap-1U,216.69375,-92.86875,0.0,top
SW37,SW_Push,MX-Hotswap-1U,235.74375,-35.71875,0.0,top
SW38,SW_Push,MX-Hotswap-1U,235.74375,-54.76875,0.0,top
SW39,SW_Push,MX-Hotswap-1U,235.74375,-73.81875,0.0,top
SW40,SW_Push,MX-Hotswap-1U,235.74375,-92.86875,0.0,top
SW41,SW_Push,MX-Hotswap-1U,254.79375,-35.71875,0.0,top
SW42,SW_Push,MX-Hotswap-1U,254.79375,-54.76875,0.0,top
SW43,SW_Push,MX-Hotswap-1U,254.79375,-73.81875,0.0,top
SW44,SW_Push,MX-Hotswap-1U,254.79375,-92.86875,0.0,top
SW45,SW_Push,MX-Hotswap-1U,273.84375,-35.71875,0.0,top
SW46,SW_Push,MX-Hotswap-1U,273.84375,-54.76875,0.0,top
SW47,SW_Push,MX-Hotswap-1U,273.84375,-73.81875,0.0,top
SW48,SW_Push,MX-Hotswap-1U,273.84375,-92.86875,0.0,top
SW49,SW_Push,MX-Hotswap-1U,292.89375,-35.71875,0.0,top
