Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RN1,R_Pack04,R_Array_Convex_4x0603,61.69025,-63.15075,0.0,bottom
RN2,R_Pack04,R_Array_Convex_4x0603,76.42225,-63.15075,0.0,bottom
RN3,R_Pack04,R_Array_Convex_4x0603,104.45275,-63.15075,0.0,bottom
RN4,R_Pack04,R_Array_Convex_4x0603,119.18475,-63.15075,0.0,bottom
RN5,R_Pack04,R_Array_Convex_4x0603,142.55275,-63.15075,0.0,bottom
RN6,R_Pack04,R_Array_Convex_4x0603,157.28475,-63.15075,0.0,bottom
RN7,R_Pack04,R_Array_Convex_4x0603,180.65275,-63.15075,0.0,bottom
RN8,R_Pack04,R_Array_Convex_4x0603,195.38475,-63.15075,0.0,bottom
RN9,R_Pack04,R_Array_Convex_4x0603,218.75275,-63.15075,0.0,bottom
RN10,R_Pack04,R_Array_Convex_4x0603,233.48475,-63.15075,0.0,bottom
RN11,R_Pack04,R_Array_Convex_4x0603,256.85275,-63.15075,0.0,bottom
RN12,R_Pack04,R_Array_Convex_4x0603,271.58475,-63.15075,0.0,bottom
RN13,R_Pack04,R_Array_Convex_4x0603,294.88425,-63.15075,0.0,bottom
RN14,R_Pack04,R_Array_Convex_4x0603,309.61625,-63.15075,0.0,bottom
RN15,R_Pack04,R_Array_Convex_4x0603,256.83075,-102.36775,0.0,bottom
SW1,SW_Push,MX-Hotswap-1U,63.6588,-31.9088,180.0,bottom
SW2,SW_Push,MX-Hotswap-1.25U,108.9025,-108.1088,180.0,bottom
SW3,SW_Push,MX-Hotswap-1.25U,132.7150,-108.1088,180.0,bottom
SW4,SW_Push,MX-Hotswap-2.25U-ReversedStabilizers,166.0525,-108.1088,180.0,bottom
SW5,SW_Push,MX-Hotswap-1U,82.7087,-31.9088,180.0,bottom
SW6,SW_Push,MX-Hotswap-1.5U,77.9462,-50.9587,180.0,bottom
SW7,SW_Push,MX-Hotswap-1.75U,75.5650,-70.0087,180.0,bottom
SW8,SW_Push,MX-Hotswap-2.25U,70.8025,-89.0588,180.0,bottom
SW9,SW_Push,MX-Hotswap-1U,101.7587,-31.9088,180.0,bottom
SW10,SW_Push,MX-Hotswap-1U,101.7587,-50.9587,180.0,bottom
SW11,SW_Push,MX-Hotswap-1U,101.7587,-70.0087,180.0,bottom
SW12,SW_Push,MX-Hotswap-1U,101.7587,-89.0588,180.0,bottom
SW13,SW_Push,MX-Hotswap-1U,120.8087,-31.9088,180.0,bottom
SW14,SW_Push,MX-Hotswap-1U,120.8087,-50.9587,180.0,bottom
SW15,SW_Push,MX-Hotswap-1U,120.8087,-70.0087,180.0,bottom
SW16,SW_Push,MX-Hotswap-1U,120.8087,-89.0588,180.0,bottom
SW17,SW_Push,MX-Hotswap-1U,139.8588,-31.9088,180.0,bottom
SW18,SW_Push,MX-Hotswap-1U,139.8588,-50.9587,180.0,bottom
SW19,SW_Push,MX-Hotswap-1U,139.8588,-70.0087,180.0,bottom
SW20,SW_Push,MX-Hotswap-1U,139.8588,-89.0588,180.0,bottom
SW21,SW_Push,MX-Hotswap-1U,158.9087,-31.9088,180.0,bottom
SW22,SW_Push,MX-Hotswap-1U,158.9087,-50.9587,180.0,bottom
SW23,SW_Push,MX-Hotswap-1U,158.9087,-70.0087,180.0,bottom
SW24,SW_Push,MX-Hotswap-1U,158.9087,-89.0588,180.0,bottom
SW25,SW_Push,MX-Hotswap-1U,177.9588,-31.9088,180.0,bottom
SW26,SW_Push,MX-Hotswap-1U,177.9588,-50.9587,180.0,bottom
SW27,SW_Push,MX-Hotswap-1U,177.9588,-70.0087,180.0,bottom
SW28,SW_Push,MX-Hotswap-1U,177.9588,-89.0588,180.0,bottom
SW29,SW_Push,MX-Hotswap-1U,197.0088,-31.9088,180.0,bottom
SW30,SW_Push,MX-Hotswap-1U,197.0088,-50.9587,180.0,bottom
SW31,SW_Push,MX-Hotswap-1U,197.0088,-70.0087,180.0,bottom
SW32,SW_Push,MX-Hotswap-1U,197.0088,-89.0588,180.0,bottom
SW33,SW_Push,MX-Hotswap-1U,216.0588,-31.9088,180.0,bottom
SW34,SW_Push,MX-Hotswap-1U,216.0588,-50.9587,180.0,bottom
SW35,SW_Push,MX-Hotswap-1U,216.0588,-70.0087,180.0,bottom
SW36,SW_Push,MX-Hotswap-1U,216.0588,-89.0588,180.0,bottom
SW37,SW_Push,MX-Hotswap-1U,235.1088,-31.9088,180.0,bottom
SW38,SW_Push,MX-Hotswap-1U,235.1088,-50.9587,180.0,bottom
SW39,SW_Push,MX-Hotswap-1U,235.1088,-70.0087,180.0,bottom
SW40,SW_Push,MX-Hotswap-1U,235.1088,-89.0588,180.0,bottom
SW41,SW_Push,MX-Hotswap-1U,254.1587,-31.9088,180.0,bottom
SW42,SW_Push,MX-Hotswap-1U,254.1587,-50.9587,180.0,bottom
SW43,SW_Push,MX-Hotswap-1U,254.1587,-70.0087,180.0,bottom
SW44,SW_Push,MX-Hotswap-1U,254.1587,-89.0588,180.0,bottom
SW45,SW_Push,MX-Hotswap-1U,273.2088,-31.9088,180.0,bottom
SW46,SW_Push,MX-Hotswap-1U,273.2088,-50.9587,180.0,bottom
SW47,SW_Push,MX-Hotswap-1U,273.2088,-70.0087,180.0,bottom
SW48,SW_Push,MX-Hotswap-1U,273.2088,-89.0588,180.0,bottom
SW49,SW_Push,MX-Hotswap-1U,292.2588,-31.9088,180.0,bottom
SW50,SW_Push,MX-Hotswap-1U,292.2588,-50.9587,180.0,bottom
SW51,SW_Push,MX-Hotswap-2.25U,304.1650,-70.0087,180.0,bottom
SW52,SW_Push,MX-Hotswap-1.75U,299.4025,-89.0588,180.0,bottom
SW53,SW_Push,MX-Hotswap-1U,311.3088,-31.9088,180.0,bottom
SW54,SW_Push,MX-Hotswap-1U,330.3587,-31.9088,180.0,bottom
SW55,SW_Push,MX-Hotswap-1U,311.3088,-50.9587,180.0,bottom
SW56,SW_Push,MX-Hotswap-1U,325.5962,-89.0588,180.0,bottom
SW57,SW_Push,MX-Hotswap-2.75U-ReversedStabilizers,213.6775,-108.1088,180.0,bottom
SW58,SW_Push,MX-Hotswap-1.25U,251.7775,-108.1088,180.0,bottom
SW59,SW_Push,MX-Hotswap-1.25U,275.5900,-108.1088,180.0,bottom
U1,74HC165,TSSOP-16_4.4x5mm_P0.65mm,69.05625,-60.10275,90.0,bottom
U2,74HC165,TSSOP-16_4.4x5mm_P0.65mm,111.81875,-60.10275,90.0,bottom
U3,74HC165,TSSOP-16_4.4x5mm_P0.65mm,149.91875,-60.10275,90.0,bottom
U4,74HC165,TSSOP-16_4.4x5mm_P0.65mm,188.01875,-60.10275,90.0,bottom
U5,74HC165,TSSOP-16_4.4x5mm_P0.65mm,226.11875,-60.10275,90.0,bottom
U6,74HC165,TSSOP-16_4.4x5mm_P0.65mm,264.21875,-60.10275,90.0,bottom
U7,74HC165,TSSOP-16_4.4x5mm_P0.65mm,302.25025,-60.10275,90.0,bottom
U8,74HC165,TSSOP-16_4.4x5mm_P0.65mm,264.19675,-99.31975,90.0,bottom
