Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RN1,R_Pack04,R_Array_Convex_4x0603,48.514,-66.7385,90.0,bottom
RN2,R_Pack04,R_Array_Convex_4x0603,60.198,-66.7385,270.0,bottom
RN3,R_Pack04,R_Array_Convex_4x0603,99.06,-66.7385,90.0,bottom
RN4,R_Pack04,R_Array_Convex_4x0603,110.744,-66.7385,270.0,bottom
RN5,R_Pack04,R_Array_Convex_4x0603,137.16,-66.7385,90.0,bottom
RN6,R_Pack04,R_Array_Convex_4x0603,148.844,-66.7385,270.0,bottom
RN7,R_Pack04,R_Array_Convex_4x0603,175.26,-66.7385,90.0,bottom
RN8,R_Pack04,R_Array_Convex_4x0603,186.944,-66.7385,270.0,bottom
RN9,R_Pack04,R_Array_Convex_4x0603,213.36,-66.7385,90.0,bottom
RN10,R_Pack04,R_Array_Convex_4x0603,225.044,-66.7385,270.0,bottom
RN11,R_Pack04,R_Array_Convex_4x0603,251.46,-66.7385,90.0,bottom
RN12,R_Pack04,R_Array_Convex_4x0603,263.144,-66.7385,270.0,bottom
RN13,R_Pack04,R_Array_Convex_4x0603,289.56,-66.7385,90.0,bottom
RN14,R_Pack04,R_Array_Convex_4x0603,301.244,-66.7385,270.0,bottom
RN15,R_Pack04,R_Array_Convex_4x0603,198.882,-104.8385,90.0,bottom
RN16,R_Pack04,R_Array_Convex_4x0603,210.566,-104.8385,270.0,bottom
SW1,SW_Push,MX-Hotswap-1U,33.3375,-38.1,0.0,top
SW2,SW_Push,MX-Hotswap-1U,33.3375,-57.15,0.0,top
SW3,SW_Push,MX-Hotswap-1U,33.3375,-76.2,0.0,top
SW4,SW_Push,MX-Hotswap-1U,33.3375,-95.25,0.0,top
SW5,SW_Push,MX-Hotswap-1U,76.2,-38.1,0.0,top
SW6,SW_Push,MX-Hotswap-1.5U,71.4375,-57.15,0.0,top
SW7,SW_Push,MX-Hotswap-1.75U,69.05625,-76.2,0.0,top
SW8,SW_Push,MX-Hotswap-2U,66.675,-95.25,0.0,top
SW9,SW_Push,MX-Hotswap-1U,95.25,-38.1,0.0,top
SW10,SW_Push,MX-Hotswap-1U,95.25,-57.15,0.0,top
SW11,SW_Push,MX-Hotswap-1U,95.25,-76.2,0.0,top
SW12,SW_Push,MX-Hotswap-1U,95.25,-95.25,0.0,top
SW13,SW_Push,MX-Hotswap-1U,114.3,-38.1,0.0,top
SW14,SW_Push,MX-Hotswap-1U,114.3,-57.15,0.0,top
SW15,SW_Push,MX-Hotswap-1U,114.3,-76.2,0.0,top
SW16,SW_Push,MX-Hotswap-1U,114.3,-95.25,0.0,top
SW17,SW_Push,MX-Hotswap-1U,133.35,-38.1,0.0,top
SW18,SW_Push,MX-Hotswap-1U,133.35,-57.15,0.0,top
SW19,SW_Push,MX-Hotswap-1U,133.35,-76.2,0.0,top
SW20,SW_Push,MX-Hotswap-1U,133.35,-95.25,0.0,top
