Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RN1,R_Pack04,R_Array_Convex_4x0603,48.514,-66.7385,0.0,bottom
RN2,R_Pack04,R_Array_Convex_4x0603,60.198,-66.7385,0.0,bottom
RN3,R_Pack04,R_Array_Convex_4x0603,99.06,-66.7385,0.0,bottom
RN4,R_Pack04,R_Array_Convex_4x0603,110.744,-66.7385,0.0,bottom
RN5,R_Pack04,R_Array_Convex_4x0603,137.16,-66.7385,0.0,bottom
RN6,R_Pack04,R_Array_Convex_4x0603,148.844,-66.7385,0.0,bottom
RN7,R_Pack04,R_Array_Convex_4x0603,175.26,-66.7385,0.0,bottom
RN8,R_Pack04,R_Array_Convex_4x0603,186.944,-66.7385,0.0,bottom
RN9,R_Pack04,R_Array_Convex_4x0603,213.36,-66.7385,0.0,bottom
RN10,R_Pack04,R_Array_Convex_4x0603,225.044,-66.7385,0.0,bottom
RN11,R_Pack04,R_Array_Convex_4x0603,251.46,-66.7385,0.0,bottom
RN12,R_Pack04,R_Array_Convex_4x0603,263.144,-66.7385,0.0,bottom
RN13,R_Pack04,R_Array_Convex_4x0603,289.56,-66.7385,0.0,bottom
RN14,R_Pack04,R_Array_Convex_4x0603,301.244,-66.7385,0.0,bottom
RN15,R_Pack04,R_Array_Convex_4x0603,198.882,-104.8385,0.0,bottom
RN16,R_Pack04,R_Array_Convex_4x0603,210.566,-104.8385,0.0,bottom
SW1,SW_Push,MX-Hotswap-1U,32.7025,-34.2900,180.0,bottom
SW2,SW_Push,MX-Hotswap-1U,32.7025,-53.3400,180.0,bottom
SW3,SW_Push,MX-Hotswap-1U,32.7025,-72.3900,180.0,bottom
SW4,SW_Push,MX-Hotswap-1U,32.7025,-91.4400,180.0,bottom
SW5,SW_Push,MX-Hotswap-1U,75.5650,-34.2900,180.0,bottom
SW6,SW_Push,MX-Hotswap-1.5U,70.8025,-53.3400,180.0,bottom
SW7,SW_Push,MX-Hotswap-1.75U,68.4213,-72.3900,180.0,bottom
SW8,SW_Push,MX-Hotswap-2U,66.0400,-91.4400,180.0,bottom
SW9,SW_Push,MX-Hotswap-1U,94.6150,-34.2900,180.0,bottom
SW10,SW_Push,MX-Hotswap-1U,94.6150,-53.3400,180.0,bottom
SW11,SW_Push,MX-Hotswap-1U,94.6150,-72.3900,180.0,bottom
SW12,SW_Push,MX-Hotswap-1U,94.6150,-91.4400,180.0,bottom
SW13,SW_Push,MX-Hotswap-1U,113.6650,-34.2900,180.0,bottom
SW14,SW_Push,MX-Hotswap-1U,113.6650,-53.3400,180.0,bottom
SW15,SW_Push,MX-Hotswap-1U,113.6650,-72.3900,180.0,bottom
SW16,SW_Push,MX-Hotswap-1U,113.6650,-91.4400,180.0,bottom
SW17,SW_Push,MX-Hotswap-1U,132.7150,-34.2900,180.0,bottom
SW18,SW_Push,MX-Hotswap-1U,132.7150,-53.3400,180.0,bottom
SW19,SW_Push,MX-Hotswap-1U,132.7150,-72.3900,180.0,bottom
SW20,SW_Push,MX-Hotswap-1U,132.7150,-91.4400,180.0,bottom
SW21,SW_Push,MX-Hotswap-1U,151.7650,-34.2900,180.0,bottom
SW22,SW_Push,MX-Hotswap-1U,151.7650,-53.3400,180.0,bottom
SW23,SW_Push,MX-Hotswap-1U,151.7650,-72.3900,180.0,bottom
SW24,SW_Push,MX-Hotswap-1U,151.7650,-91.4400,180.0,bottom
SW25,SW_Push,MX-Hotswap-1U,170.8150,-34.2900,180.0,bottom
SW26,SW_Push,MX-Hotswap-1U,170.8150,-53.3400,180.0,bottom
SW27,SW_Push,MX-Hotswap-1U,170.8150,-72.3900,180.0,bottom
SW28,SW_Push,MX-Hotswap-1U,170.8150,-91.4400,180.0,bottom
SW29,SW_Push,MX-Hotswap-1U,189.8650,-34.2900,180.0,bottom
SW30,SW_Push,MX-Hotswap-1U,189.8650,-53.3400,180.0,bottom
